"","lake_date_time","nvehiclesFishing","nWIfishing","notes","heavyWind","heavyRain","heavyClouds","lakeID","date","time"
"30","AQ_2018-06-23_13:30",9,6,"Departure count: Warm, sunny day",0,0,0,"AQ","2018-06-23","13:30"
"31","AQ_2018-07-25_13:22",6,6,"Arrival count. 1 additional non-fishing truck with big white trailer. Parked all day",0,0,0,"AQ","2018-07-25","13:22"
"32","AQ_2018-07-25_14:00",4,4,"1 additional vehicle",0,0,0,"AQ","2018-07-25","14:00"
"33","AQ_2018-07-25_15:00",3,3,"1 additional vehicle, clouds coming in",0,0,0,"AQ","2018-07-25","15:00"
"34","AQ_2018-07-25_16:00",4,3,"1 additional vehicle. Non-WI car carried shore anglers. Thunder in distance, light rain",0,0,1,"AQ","2018-07-25","16:00"
"35","AQ_2018-07-25_17:00",1,1,"1 additional vehicle. Heavy rain occurred between counts",0,0,1,"AQ","2018-07-25","17:00"
"36","AQ_2018-07-25_18:00",0,0,"Thundering. 1 additional vehicle",0,0,1,"AQ","2018-07-25","18:00"
"37","AQ_2018-07-25_19:00",0,0,"T-storm ongoing, 1 additional vehicle",0,1,1,"AQ","2018-07-25","19:00"
"38","AQ_2018-07-25_20:00",0,0,"Moderate rain. 1 additional vehicle",0,0,1,"AQ","2018-07-25","20:00"
"39","AQ_2018-07-25_21:00",0,0,"1 additional vehicle",0,0,1,"AQ","2018-07-25","21:00"
"40","AQ_2018-07-25_21:30",0,0,"Departure count, 1 additional vehicle",0,0,0,"AQ","2018-07-25","21:30"
"41","AR_2018-05-14_14:20",0,0,"Arrival count",0,0,0,"AR","2018-05-14","14:20"
"42","AR_2018-05-14_15:00",0,0,NA,0,0,0,"AR","2018-05-14","15:00"
"43","AR_2018-05-14_16:00",0,0,NA,0,0,0,"AR","2018-05-14","16:00"
"44","AR_2018-05-14_17:00",0,0,NA,0,0,0,"AR","2018-05-14","17:00"
"45","AR_2018-05-14_18:00",0,0,NA,0,0,0,"AR","2018-05-14","18:00"
"46","AR_2018-05-14_19:00",0,0,NA,0,0,0,"AR","2018-05-14","19:00"
"47","AR_2018-05-14_20:00",0,0,NA,0,0,0,"AR","2018-05-14","20:00"
"48","AR_2018-05-14_21:00",0,0,NA,0,0,0,"AR","2018-05-14","21:00"
"49","AR_2018-05-14_21:30",0,0,"Departure count",0,0,0,"AR","2018-05-14","21:30"
"50","AR_2018-06-09_05:38",0,0,"Arrival count.",0,0,0,"AR","2018-06-09","05:38"
"51","AR_2018-06-09_06:00",0,0,NA,0,0,0,"AR","2018-06-09","06:00"
"52","AR_2018-06-09_07:00",0,0,NA,0,0,0,"AR","2018-06-09","07:00"
"53","AR_2018-06-09_08:00",1,1,NA,0,0,0,"AR","2018-06-09","08:00"
"54","AR_2018-06-09_09:00",1,1,NA,0,0,0,"AR","2018-06-09","09:00"
"55","AR_2018-06-09_10:00",1,1,NA,0,0,0,"AR","2018-06-09","10:00"
"56","AR_2018-06-09_11:00",1,1,NA,0,0,0,"AR","2018-06-09","11:00"
"57","AR_2018-06-09_12:00",0,0,NA,0,0,0,"AR","2018-06-09","12:00"
"58","AR_2018-06-09_13:00",1,1,NA,0,0,0,"AR","2018-06-09","13:00"
"59","AR_2018-06-09_13:30",0,0,"Depart count.",0,0,0,"AR","2018-06-09","13:30"
"60","AR_2018-07-19_13:21",1,1,"Arrival count. Vehicle pulled in behind us with empty trailer",0,0,0,"AR","2018-07-19","13:21"
"61","AR_2018-07-19_14:00",1,1,NA,0,0,0,"AR","2018-07-19","14:00"
"62","AR_2018-07-19_15:00",1,1,NA,0,0,0,"AR","2018-07-19","15:00"
"63","AR_2018-07-19_16:00",0,0,NA,0,0,0,"AR","2018-07-19","16:00"
"64","AR_2018-07-19_17:00",1,1,"Vehicle stopped to launch boat, left to park at campground. Vehicle from arrival count",0,0,0,"AR","2018-07-19","17:00"
"65","AR_2018-07-19_18:00",1,1,"Vehicle just arrived",0,0,0,"AR","2018-07-19","18:00"
"66","AR_2018-07-19_19:00",2,1,"Starting to look like rain",0,0,0,"AR","2018-07-19","19:00"
"67","AR_2018-07-19_20:00",2,1,NA,0,0,0,"AR","2018-07-19","20:00"
"68","AR_2018-07-19_21:00",0,0,NA,0,0,0,"AR","2018-07-19","21:00"
"69","AR_2018-07-19_21:30",0,0,"Departure count",0,0,0,"AR","2018-07-19","21:30"
"70","AR_2018-08-11_13:21",4,4,"Arrival count",0,0,0,"AR","2018-08-11","13:21"
"71","AR_2018-08-11_14:00",6,6,"Ramp full; one vehicle parked on side of road",0,0,0,"AR","2018-08-11","14:00"
"72","AR_2018-08-11_15:00",6,6,NA,0,0,0,"AR","2018-08-11","15:00"
"73","AR_2018-08-11_16:00",4,4,NA,0,0,0,"AR","2018-08-11","16:00"
"74","AR_2018-08-11_17:00",1,1,"1 WI vehicle not fishing",0,0,0,"AR","2018-08-11","17:00"
"75","AR_2018-08-11_18:00",1,1,"1 WI vehicle not fishing",0,0,0,"AR","2018-08-11","18:00"
"76","AR_2018-08-11_19:00",2,2,"1 WI vehicle not fishing",0,0,0,"AR","2018-08-11","19:00"
"77","AR_2018-08-11_20:00",2,2,"1 WI vehicle not fishing",0,0,0,"AR","2018-08-11","20:00"
"78","AR_2018-08-11_21:00",1,1,"1 WI vehicle not fishing",0,0,0,"AR","2018-08-11","21:00"
"79","AR_2018-08-11_21:30",0,0,"Depart count",0,0,0,"AR","2018-08-11","21:30"
"80","BA_2018-06-25_13:29",1,0,"Arrival count. Truck used by fisher who took john boat from dock.",0,0,0,"BA","2018-06-25","13:29"
"81","BA_2018-06-25_14:00",0,0,"Breezy",0,0,0,"BA","2018-06-25","14:00"
"82","BA_2018-06-25_15:00",0,0,NA,0,0,0,"BA","2018-06-25","15:00"
"83","BA_2018-06-25_16:00",0,0,"Some strong sustained breezes",0,0,0,"BA","2018-06-25","16:00"
"84","BA_2018-06-25_17:00",0,0,NA,0,0,0,"BA","2018-06-25","17:00"
"85","BA_2018-06-25_18:00",0,0,NA,0,0,0,"BA","2018-06-25","18:00"
"86","BA_2018-06-25_19:00",1,1,NA,0,0,0,"BA","2018-06-25","19:00"
"87","BA_2018-06-25_20:00",1,1,NA,0,0,0,"BA","2018-06-25","20:00"
"88","BA_2018-06-25_21:00",1,1,NA,0,0,0,"BA","2018-06-25","21:00"
"89","BA_2018-06-25_21:30",0,0,"Departure count",0,0,0,"BA","2018-06-25","21:30"
"90","BA_2018-06-30_05:29",0,0,"Cloudy, humid, some light.  Arrival count.",0,0,0,"BA","2018-06-30","05:29"
"91","BA_2018-06-30_06:00",0,0,NA,0,0,0,"BA","2018-06-30","06:00"
"92","BA_2018-06-30_07:00",0,0,NA,0,0,0,"BA","2018-06-30","07:00"
"93","BA_2018-06-30_08:00",0,0,NA,0,0,0,"BA","2018-06-30","08:00"
"94","BA_2018-06-30_09:00",0,0,"Cloudy, approaching heavier clouds.  Bill stopped by.",0,0,0,"BA","2018-06-30","09:00"
"95","BA_2018-06-30_10:00",0,0,NA,0,0,0,"BA","2018-06-30","10:00"
"96","BA_2018-06-30_11:00",0,0,NA,0,0,0,"BA","2018-06-30","11:00"
"97","BA_2018-06-30_12:00",0,0,"Clouds breaking up.",0,0,0,"BA","2018-06-30","12:00"
"98","BA_2018-06-30_13:00",0,0,NA,0,0,0,"BA","2018-06-30","13:00"
"99","BA_2018-06-30_13:30",0,0,"Depart count.",0,0,0,"BA","2018-06-30","13:30"
"100","BA_2018-08-02_05:30",0,0,"Arrival count",0,0,0,"BA","2018-08-02","05:30"
"101","BA_2018-08-02_06:00",0,0,NA,0,0,0,"BA","2018-08-02","06:00"
"102","BA_2018-08-02_07:00",0,0,NA,0,0,0,"BA","2018-08-02","07:00"
"103","BA_2018-08-02_08:00",0,0,NA,0,0,0,"BA","2018-08-02","08:00"
"104","BA_2018-08-02_09:00",1,0,NA,0,0,0,"BA","2018-08-02","09:00"
"105","BA_2018-08-02_10:00",1,0,NA,0,0,0,"BA","2018-08-02","10:00"
"106","BA_2018-08-02_11:00",1,0,NA,0,0,0,"BA","2018-08-02","11:00"
"107","BA_2018-08-02_12:00",1,0,NA,0,0,0,"BA","2018-08-02","12:00"
"108","BA_2018-08-02_13:00",1,0,NA,0,0,0,"BA","2018-08-02","13:00"
"109","BA_2018-08-02_13:30",0,0,"Departure count",0,0,0,"BA","2018-08-02","13:30"
"110","BA_2018-08-06_13:23",0,0,"Arrival count",0,0,0,"BA","2018-08-06","13:23"
"111","BA_2018-08-06_14:00",0,0,NA,0,0,0,"BA","2018-08-06","14:00"
"112","BA_2018-08-06_15:00",0,0,NA,0,0,0,"BA","2018-08-06","15:00"
"113","BA_2018-08-06_16:00",0,0,NA,0,0,0,"BA","2018-08-06","16:00"
"114","BA_2018-08-06_17:00",0,0,NA,0,0,0,"BA","2018-08-06","17:00"
"115","BA_2018-08-06_18:00",0,0,NA,0,0,0,"BA","2018-08-06","18:00"
"116","BA_2018-08-06_19:00",0,0,NA,0,0,0,"BA","2018-08-06","19:00"
"117","BA_2018-08-06_20:00",0,0,NA,0,0,0,"BA","2018-08-06","20:00"
"118","BA_2018-08-06_21:00",0,0,NA,0,0,0,"BA","2018-08-06","21:00"
"119","BA_2018-08-06_21:30",0,0,"Departure count",0,0,0,"BA","2018-08-06","21:30"
"120","BH_2018-05-16_05:50",0,0,"Arrival count",0,0,0,"BH","2018-05-16","05:50"
"121","BH_2018-05-16_06:00",0,0,NA,0,0,0,"BH","2018-05-16","06:00"
"122","BH_2018-05-16_07:00",1,1,NA,0,0,0,"BH","2018-05-16","07:00"
"123","BH_2018-05-16_08:00",2,2,NA,0,0,0,"BH","2018-05-16","08:00"
"124","BH_2018-05-16_09:00",2,2,NA,0,0,0,"BH","2018-05-16","09:00"
"125","BH_2018-05-16_10:00",3,3,NA,0,0,0,"BH","2018-05-16","10:00"
"126","BH_2018-05-16_11:00",4,4,NA,0,0,0,"BH","2018-05-16","11:00"
"127","BH_2018-05-16_12:00",3,3,NA,0,0,0,"BH","2018-05-16","12:00"
"128","BH_2018-05-16_13:00",2,2,NA,0,0,0,"BH","2018-05-16","13:00"
"129","BH_2018-05-16_13:30",0,0,"Departure count",0,0,0,"BH","2018-05-16","13:30"
"130","BH_2018-06-22_05:20",1,1,"Arrival count",0,0,0,"BH","2018-06-22","05:20"
"131","BH_2018-06-22_06:00",0,0,NA,0,0,0,"BH","2018-06-22","06:00"
"132","BH_2018-06-22_07:00",0,0,"Vehicle arrived, began backing to ramp at 7:00",0,0,0,"BH","2018-06-22","07:00"
"133","BH_2018-06-22_08:00",1,1,NA,0,0,0,"BH","2018-06-22","08:00"
"134","BH_2018-06-22_09:00",1,1,NA,0,0,0,"BH","2018-06-22","09:00"
"135","BH_2018-06-22_10:00",1,1,NA,0,0,0,"BH","2018-06-22","10:00"
"136","BH_2018-06-22_11:00",4,3,NA,0,0,0,"BH","2018-06-22","11:00"
"137","BH_2018-06-22_12:00",4,2,NA,0,0,0,"BH","2018-06-22","12:00"
"138","BH_2018-06-22_13:00",4,2,NA,0,0,0,"BH","2018-06-22","13:00"
"139","BH_2018-06-22_13:30",3,1,"Departure count",0,0,0,"BH","2018-06-22","13:30"
"140","BH_2018-07-07_13:28",1,1,"Arrived",0,0,0,"BH","2018-07-07","13:28"
"141","BH_2018-07-07_14:00",1,1,"A bit breezy",0,0,0,"BH","2018-07-07","14:00"
"142","BH_2018-07-07_15:00",1,1,"Still breezy",0,0,0,"BH","2018-07-07","15:00"
"143","BH_2018-07-07_16:00",0,0,NA,0,0,0,"BH","2018-07-07","16:00"
"144","BH_2018-07-07_17:00",1,1,NA,0,0,0,"BH","2018-07-07","17:00"
"145","BH_2018-07-07_18:00",2,2,"1 vehicle backing up into ramp",0,0,0,"BH","2018-07-07","18:00"
"146","BH_2018-07-07_19:00",4,4,NA,0,0,0,"BH","2018-07-07","19:00"
"147","BH_2018-07-07_20:00",4,3,NA,0,0,0,"BH","2018-07-07","20:00"
"148","BH_2018-07-07_21:00",3,2,NA,0,0,0,"BH","2018-07-07","21:00"
"149","BH_2018-07-07_21:30",1,1,"Depart",0,0,0,"BH","2018-07-07","21:30"
"150","BH_2018-08-03_13:20",1,1,"Arrival count. Vehicle in launch, launching kayaks",0,0,0,"BH","2018-08-03","13:20"
"151","BH_2018-08-03_14:00",0,0,"T-storm approaching. Thunder audible, storm may be severe",0,0,1,"BH","2018-08-03","14:00"
"152","BH_2018-08-03_15:00",0,0,"T-storm still approaching",0,0,1,"BH","2018-08-03","15:00"
"153","BH_2018-08-03_16:00",1,1,"T-storm in area, thunder with light to medium rain, no wind. Boat not launched",0,0,1,"BH","2018-08-03","16:00"
"154","BH_2018-08-03_17:00",1,1,"Storm starting to abate",0,0,1,"BH","2018-08-03","17:00"
"155","BH_2018-08-03_18:00",1,1,"Rain is done for now, still overcast",0,0,0,"BH","2018-08-03","18:00"
"156","BH_2018-08-03_19:00",1,1,NA,0,0,0,"BH","2018-08-03","19:00"
"157","BH_2018-08-03_20:00",1,1,NA,0,0,0,"BH","2018-08-03","20:00"
"158","BH_2018-08-03_21:00",1,1,NA,0,0,0,"BH","2018-08-03","21:00"
"159","BH_2018-08-03_21:30",0,0,"Departure count",0,0,0,"BH","2018-08-03","21:30"
"160","BK_2018-05-12_06:00",1,1,"Arrival count",0,0,0,"BK","2018-05-12","06:00"
"161","BK_2018-05-12_07:00",1,1,NA,0,0,0,"BK","2018-05-12","07:00"
"162","BK_2018-05-12_08:00",1,1,NA,0,0,0,"BK","2018-05-12","08:00"
"163","BK_2018-05-12_09:00",1,1,NA,0,0,0,"BK","2018-05-12","09:00"
"164","BK_2018-05-12_10:00",1,1,NA,0,0,0,"BK","2018-05-12","10:00"
"165","BK_2018-05-12_11:00",1,1,NA,0,0,0,"BK","2018-05-12","11:00"
"166","BK_2018-05-12_12:00",1,1,NA,0,0,0,"BK","2018-05-12","12:00"
"167","BK_2018-05-12_13:00",1,1,NA,0,0,0,"BK","2018-05-12","13:00"
"168","BK_2018-05-12_14:00",2,2,"Departure count",0,0,0,"BK","2018-05-12","14:00"
"169","BK_2018-06-28_05:23",1,0,"Arrival count. Boat in launch preparing to leave",0,0,0,"BK","2018-06-28","05:23"
"170","BK_2018-06-28_06:00",2,1,NA,0,0,0,"BK","2018-06-28","06:00"
"171","BK_2018-06-28_07:00",2,1,NA,0,0,0,"BK","2018-06-28","07:00"
"172","BK_2018-06-28_08:00",2,1,"2 WI vehicles not fishing",0,0,0,"BK","2018-06-28","08:00"
"173","BK_2018-06-28_09:00",1,1,"1 WI vehicles not fishing",0,0,0,"BK","2018-06-28","09:00"
"174","BK_2018-06-28_10:00",1,1,"1 WI vehicles not fishing",0,0,0,"BK","2018-06-28","10:00"
"175","BK_2018-06-28_11:00",1,1,"3 WI vehicles not fishing",0,0,0,"BK","2018-06-28","11:00"
"176","BK_2018-06-28_12:00",2,2,"4 WI vehicles not fishing",0,0,0,"BK","2018-06-28","12:00"
"177","BK_2018-06-28_13:00",5,3,"3 WI vehicles not fishing",0,0,0,"BK","2018-06-28","13:00"
"178","BK_2018-06-28_13:30",6,4,"Departure count, 3 WI vehicles not fishing",0,0,0,"BK","2018-06-28","13:30"
"179","BK_2018-07-04_13:17",2,2,"Arrival count.  Lots of cars, few trailers.  One kayak in back of truck.",0,0,0,"BK","2018-07-04","13:17"
"180","BK_2018-07-04_14:00",5,5,"T-storms heading in.  Two trucks w/ canoes strapped to roof.",0,0,1,"BK","2018-07-04","14:00"
"181","BK_2018-07-04_15:00",0,0,"T-storm winding down-still lightning.",0,1,1,"BK","2018-07-04","15:00"
"182","BK_2018-07-04_16:00",0,0,"Light-medium rain.",0,0,1,"BK","2018-07-04","16:00"
"183","BK_2018-07-04_17:00",0,0,"Storm cleared, boat parade starting.  Three vehicles here - not boats. (Two Clean Waters)",0,0,0,"BK","2018-07-04","17:00"
"184","BK_2018-07-04_18:00",1,1,"Vehicle bringing anglers from Sheet 4 drove off w/ trailer.",0,0,0,"BK","2018-07-04","18:00"
"185","BK_2018-07-04_19:00",1,1,"1 WI vehicle not fishing (Clean Lakes)",0,0,0,"BK","2018-07-04","19:00"
"186","BK_2018-07-04_20:00",1,1,"1 WI vehicle not fishing (Clean Lakes)",0,0,0,"BK","2018-07-04","20:00"
"187","BK_2018-07-04_21:00",1,1,NA,0,0,0,"BK","2018-07-04","21:00"
"188","BK_2018-07-04_21:30",0,0,"Waiting for departing angler to leave.  Depart count.",0,0,0,"BK","2018-07-04","21:30"
"189","BK_2018-08-10_13:30",3,1,"Arrival count, additional non-fishing vehicles were present, but forgot to count them.",0,0,0,"BK","2018-08-10","13:30"
"190","BK_2018-08-10_14:00",4,3,NA,0,0,0,"BK","2018-08-10","14:00"
"191","BK_2018-08-10_15:00",3,3,NA,0,0,0,"BK","2018-08-10","15:00"
"192","BK_2018-08-10_16:00",4,4,NA,0,0,0,"BK","2018-08-10","16:00"
"193","BK_2018-08-10_17:00",1,1,"1 additional boat trailer with boat that was never launched.",0,0,0,"BK","2018-08-10","17:00"
"194","BK_2018-08-10_18:00",1,1,NA,0,0,0,"BK","2018-08-10","18:00"
"195","BK_2018-08-10_19:00",0,0,NA,0,0,0,"BK","2018-08-10","19:00"
"196","BK_2018-08-10_20:00",0,0,NA,0,0,0,"BK","2018-08-10","20:00"
"197","BK_2018-08-10_21:00",0,0,NA,0,0,0,"BK","2018-08-10","21:00"
"198","BK_2018-08-10_21:30",0,0,"Departure count",0,0,0,"BK","2018-08-10","21:30"
"199","CA_2018-05-28_13:30",0,0,"Arrival count",0,0,0,"CA","2018-05-28","13:30"
"200","CA_2018-05-28_14:00",0,0,NA,0,0,0,"CA","2018-05-28","14:00"
"201","CA_2018-05-28_15:00",0,0,NA,0,0,0,"CA","2018-05-28","15:00"
"202","CA_2018-05-28_16:00",1,1,NA,0,0,0,"CA","2018-05-28","16:00"
"203","CA_2018-05-28_17:00",1,1,NA,0,0,0,"CA","2018-05-28","17:00"
"204","CA_2018-05-28_18:00",1,1,NA,0,0,0,"CA","2018-05-28","18:00"
"205","CA_2018-05-28_19:00",0,0,NA,0,0,0,"CA","2018-05-28","19:00"
"206","CA_2018-05-28_20:00",0,0,NA,0,0,0,"CA","2018-05-28","20:00"
"207","CA_2018-05-28_21:00",0,0,NA,0,0,0,"CA","2018-05-28","21:00"
"208","CA_2018-05-28_21:30",0,0,NA,0,0,0,"CA","2018-05-28","21:30"
"209","CA_2018-06-26_13:25",0,0,"Arrival count. Somewhat breezy",0,0,0,"CA","2018-06-26","13:25"
"210","CA_2018-06-26_14:00",0,0,NA,0,0,0,"CA","2018-06-26","14:00"
"211","CA_2018-06-26_15:00",0,0,"Cloudy and breezy",0,0,0,"CA","2018-06-26","15:00"
"212","CA_2018-06-26_16:00",1,1,"somewhat breezy",0,0,0,"CA","2018-06-26","16:00"
"213","CA_2018-06-26_17:00",1,1,"somewhat breezy, brief rain showers, overcast",0,0,0,"CA","2018-06-26","17:00"
"214","CA_2018-06-26_18:00",1,1,NA,0,0,0,"CA","2018-06-26","18:00"
"215","CA_2018-06-26_19:00",1,1,NA,0,0,0,"CA","2018-06-26","19:00"
"216","CA_2018-06-26_20:00",1,1,NA,0,0,0,"CA","2018-06-26","20:00"
"217","CA_2018-06-26_21:00",0,0,NA,0,0,0,"CA","2018-06-26","21:00"
"218","CA_2018-06-26_21:30",0,0,"Departure count",0,0,0,"CA","2018-06-26","21:30"
"219","CA_2018-07-13_05:32",0,0,"Arrival count, raining",0,0,1,"CA","2018-07-13","05:32"
"220","CA_2018-07-13_06:00",0,0,"Rain clouds, rain has stopped",0,0,1,"CA","2018-07-13","06:00"
"221","CA_2018-07-13_07:00",0,0,"Overcast",0,0,1,"CA","2018-07-13","07:00"
"222","CA_2018-07-13_08:00",0,0,"Raining",0,0,1,"CA","2018-07-13","08:00"
"223","CA_2018-07-13_09:00",0,0,"Steady light to medium rain",0,0,1,"CA","2018-07-13","09:00"
"224","CA_2018-07-13_10:00",0,0,"Overcast",0,0,0,"CA","2018-07-13","10:00"
"225","CA_2018-07-13_11:00",0,0,"Overcast",0,0,0,"CA","2018-07-13","11:00"
"226","CA_2018-07-13_12:00",0,0,"Sun starting to peek through clouds",0,0,0,"CA","2018-07-13","12:00"
"227","CA_2018-07-13_13:00",0,0,"Light drizzle, overcast",0,0,0,"CA","2018-07-13","13:00"
"228","CA_2018-07-13_13:30",0,0,"Departure count",0,0,0,"CA","2018-07-13","13:30"
"229","CA_2018-07-29_05:32",0,0,"Arrival count",0,0,0,"CA","2018-07-29","05:32"
"230","CA_2018-07-29_06:00",0,0,NA,0,0,0,"CA","2018-07-29","06:00"
"231","CA_2018-07-29_07:00",0,0,NA,0,0,0,"CA","2018-07-29","07:00"
"232","CA_2018-07-29_08:00",0,0,NA,0,0,0,"CA","2018-07-29","08:00"
"233","CA_2018-07-29_09:00",0,0,NA,0,0,0,"CA","2018-07-29","09:00"
"234","CA_2018-07-29_10:00",0,0,NA,0,0,0,"CA","2018-07-29","10:00"
"235","CA_2018-07-29_11:00",0,0,NA,0,0,0,"CA","2018-07-29","11:00"
"236","CA_2018-07-29_12:00",0,0,NA,0,0,0,"CA","2018-07-29","12:00"
"237","CA_2018-07-29_13:00",0,0,NA,0,0,0,"CA","2018-07-29","13:00"
"238","CA_2018-07-29_13:30",0,0,"Departure count. 1 vehicle at other launch--canoe",0,0,0,"CA","2018-07-29","13:30"
"239","FD_2018-05-21_13:39",5,5,"Arrival count.  2 kayaks in pickup beds, 1 vessel hauling out.",0,0,0,"FD","2018-05-21","13:39"
"240","FD_2018-05-21_14:00",1,1,NA,0,0,0,"FD","2018-05-21","14:00"
"241","FD_2018-05-21_15:00",1,1,NA,0,0,0,"FD","2018-05-21","15:00"
"242","FD_2018-05-21_16:00",0,0,NA,0,0,0,"FD","2018-05-21","16:00"
"243","FD_2018-05-21_17:00",0,0,NA,0,0,0,"FD","2018-05-21","17:00"
"244","FD_2018-05-21_18:00",0,0,NA,0,0,0,"FD","2018-05-21","18:00"
"245","FD_2018-05-21_19:00",1,1,NA,0,0,0,"FD","2018-05-21","19:00"
"246","FD_2018-05-21_20:00",0,0,NA,0,0,0,"FD","2018-05-21","20:00"
"247","FD_2018-05-21_21:00",0,0,NA,0,0,0,"FD","2018-05-21","21:00"
"248","FD_2018-05-21_21:30",0,0,"Depart count",0,0,0,"FD","2018-05-21","21:30"
"249","FD_2018-06-17_11:02",1,1,"Arrival count. Very late arrival, creel cancelled due to weather and flooding then un-cancelled",0,0,0,"FD","2018-06-17","11:02"
"250","FD_2018-06-17_12:00",2,2,"1 non-trailered WI vehicle",0,0,0,"FD","2018-06-17","12:00"
"251","FD_2018-06-17_13:00",2,2,"1 additional WI vehicle fishing",0,0,0,"FD","2018-06-17","13:00"
"252","FD_2018-06-17_13:30",3,3,"1 additional WI vehicle fishing; IL vehicle in process of leaving. Departure count",0,0,0,"FD","2018-06-17","13:30"
"253","FD_2018-06-19_13:20",1,0,"Arrival count. +1 trailerless WI vehicle fishing",0,0,0,"FD","2018-06-19","13:20"
"254","FD_2018-06-19_14:00",2,2,"1 vehicle not fishing",0,0,0,"FD","2018-06-19","14:00"
"255","FD_2018-06-19_15:00",2,2,"1 vehicle in launch, could not see plates. Filled in as WI after",0,0,0,"FD","2018-06-19","15:00"
"256","FD_2018-06-19_16:00",2,2,NA,0,0,0,"FD","2018-06-19","16:00"
"257","FD_2018-06-19_17:00",2,2,NA,0,0,0,"FD","2018-06-19","17:00"
"258","FD_2018-06-19_18:00",2,2,"1 additional WI vehicle fishing w/o trailer; w/ trailer vehicle",0,0,0,"FD","2018-06-19","18:00"
"259","FD_2018-06-19_19:00",2,2,"1 additional WI vehicle fishing w/o trailer; w/ trailer vehicle",0,0,0,"FD","2018-06-19","19:00"
"260","FD_2018-06-19_20:00",3,3,"1 additional WI vehicle fishing w/o trailer",0,0,0,"FD","2018-06-19","20:00"
"261","FD_2018-06-19_21:00",2,2,"1 additional WI vehicle fishing w/o trailer",0,0,0,"FD","2018-06-19","21:00"
"262","FD_2018-06-19_21:30",1,1,"Departure count",0,0,0,"FD","2018-06-19","21:30"
"263","FD_2018-07-21_13:33",1,0,"Arrival count. Light rain, 1 additional vehicle with worker from clean boats clean water",0,0,1,"FD","2018-07-21","13:33"
"264","FD_2018-07-21_14:00",1,0,"Light to moderate rain",0,0,1,"FD","2018-07-21","14:00"
"265","FD_2018-07-21_15:00",0,0,"Rain mostly stopped",0,0,1,"FD","2018-07-21","15:00"
"266","FD_2018-07-21_16:00",1,1,"1 additional vehicle (IL), overcast and a little windy",0,0,0,"FD","2018-07-21","16:00"
"267","FD_2018-07-21_17:00",0,0,"Sun coming out",0,0,0,"FD","2018-07-21","17:00"
"268","FD_2018-07-21_18:00",1,1,"Rather breezy",0,0,0,"FD","2018-07-21","18:00"
