"","lakeID","June","July","August","hourOfDay.sc","hourOfDay.squ.sc","weekend1","covid1","covid","predictions.link","predictions"
"62","PT",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.288128057668278,1.33392811291025
"63","SA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.150457711301593,0.860314110802127
"64","SA",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.458978292542725,1.58245635130606
"65","SE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.950020204784617,0.386733209514359
"66","SE",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.19213469715151,0.303572536465704
"67","SM",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-0.485616327546605,0.615317842536791
"68","SM",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.0289772619087492,0.97143855287394
"69","SV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.21698750210796,0.296120888153835
"70","SV",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,0.0849237066467323,1.08863400799107
"71","UG",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,1.61529185690743,5.02935556144874
"72","UG",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,1.23836127974091,3.4499553182962
"73","WB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-2.55249656360064,0.0778869732884311
"74","WB",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-1.91757230612873,0.146963311332169
"75","WN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,0,0,-1.40743717123938,0.244769783044274
"76","WN",0,0,0,-0.000419715643451912,-0.00030454772355467,0,1,1,-0.904674285793427,0.404673671603353
