"","sampleID","date","lakeID","site","time","siteID","projectID","notes","totalNonTrailers","totalInStateNonTrailers","totalBoats","boatsFishing","shoreAnglers","heavyWind","heavyRain","heavyClouds","enteredBy","collectedBy","totalTrailers","totalInStateTrailers"
"25","AR_boatLaunch_20200803_13:16_covidCreel.Instantaneous",20200803,"AR","boatLaunch","13:16:00","AR_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",0,0
"26","AR_boatLaunch_20200811_12:07_covidCreel.Instantaneous",20200811,"AR","boatLaunch","12:07:00","AR_boatLaunch","covidCreel.Instantaneous",NA,1,1,0,0,0,0,0,0,"AT","KR",1,1
"27","AV_boatLaunch_20200611_10:55_covidCreel.Instantaneous",20200611,"AV","boatLaunch","10:55:00","AV_boatLaunch","covidCreel.Instantaneous","very windy overcast",1,1,0,0,0,1,0,0,"AT","BZ, LZ",0,0
"28","AV_boatLaunch_20200624_09:22_covidCreel.Instantaneous",20200624,"AV","boatLaunch","09:22:00","AV_boatLaunch","covidCreel.Instantaneous",NA,3,2,1,1,0,0,0,0,"AT","LZ",4,4
"29","AV_boatLaunch_20200630_13:32_covidCreel.Instantaneous",20200630,"AV","boatLaunch","13:32:00","AV_boatLaunch","covidCreel.Instantaneous","clear, sunny",3,2,0,0,0,0,0,0,"AT","KR",4,4
"30","AV_boatLaunch_20200701_09:26_covidCreel.Instantaneous",20200701,"AV","boatLaunch","09:26:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,3,0,0,0,"AT","ML",2,2
"31","AV_boatLaunch_20200702_12:55_covidCreel.Instantaneous",20200702,"AV","boatLaunch","12:55:00","AV_boatLaunch","covidCreel.Instantaneous",NA,2,2,1,1,0,0,0,0,"AT","LZ",1,1
"32","AV_boatLaunch_20200703_15:29_covidCreel.Instantaneous",20200703,"AV","boatLaunch","15:29:00","AV_boatLaunch","covidCreel.Instantaneous",NA,3,3,3,0,0,0,0,0,"AT","ML",4,2
"33","AV_boatLaunch_20200706_10:38_covidCreel.Instantaneous",20200706,"AV","boatLaunch","10:38:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,0,0,0,0,0,"AT","LZ",1,1
"34","AV_boatLaunch_20200708_14:04_covidCreel.Instantaneous",20200708,"AV","boatLaunch","14:04:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,3,3,0,0,0,0,"AT","LZ",1,1
"35","AV_boatLaunch_20200713_13:12_covidCreel.Instantaneous",20200713,"AV","boatLaunch","13:12:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,0,0,0,0,0,"AT","KR",2,1
"36","AV_boatLaunch_20200727_11:59_covidCreel.Instantaneous",20200727,"AV","boatLaunch","11:59:00","AV_boatLaunch","covidCreel.Instantaneous","3 forest service trucks, 1 with trailer. They were not counted",1,1,1,0,0,0,0,0,"AT","KR",0,0
"37","AV_boatLaunch_20200728_14:53_covidCreel.Instantaneous",20200728,"AV","boatLaunch","14:53:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","ML",4,3
"38","AV_boatLaunch_20200731_09:29_covidCreel.Instantaneous",20200731,"AV","boatLaunch","09:29:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",2,1
"39","AV_boatLaunch_20200803_09:13_covidCreel.Instantaneous",20200803,"AV","boatLaunch","09:13:00","AV_boatLaunch","covidCreel.Instantaneous","2 vehicles were ladies at landing for lake association",2,1,0,0,0,0,0,0,"AT","KR",0,0
"40","AV_boatLaunch_20200810_10:47_covidCreel.Instantaneous",20200810,"AV","boatLaunch","10:47:00","AV_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"41","BH_boatLaunch_20200621_11:48_covidCreel.Instantaneous",20200621,"BH","boatLaunch","11:48:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","ML",5,5
"42","BH_boatLaunch_20200622_15:55_covidCreel.Instantaneous",20200622,"BH","boatLaunch","15:55:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","BS",1,0
"43","BH_boatLaunch_20200623_10:16_covidCreel.Instantaneous",20200623,"BH","boatLaunch","10:16:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","KR",2,1
"44","BH_boatLaunch_20200625_16:37_covidCreel.Instantaneous",20200625,"BH","boatLaunch","16:37:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",1,1
"45","BH_boatLaunch_20200629_15:58_covidCreel.Instantaneous",20200629,"BH","boatLaunch","15:58:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",1,1
"46","BH_boatLaunch_20200630_08:56_covidCreel.Instantaneous",20200630,"BH","boatLaunch","08:56:00","BH_boatLaunch","covidCreel.Instantaneous","clear, sunny",0,0,0,0,0,0,0,0,"AT","KR",1,1
"47","BH_boatLaunch_20200702_10:37_covidCreel.Instantaneous",20200702,"BH","boatLaunch","10:37:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"48","BH_boatLaunch_20200704_11:20_covidCreel.Instantaneous",20200704,"BH","boatLaunch","11:20:00","BH_boatLaunch","covidCreel.Instantaneous","holiday",0,0,1,1,0,0,0,0,"AT","LZ",2,2
"49","BH_boatLaunch_20200706_15:55_covidCreel.Instantaneous",20200706,"BH","boatLaunch","15:55:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,0,0,0,0,0,"AT","BS",1,1
"50","BH_boatLaunch_20200708_12:04_covidCreel.Instantaneous",20200708,"BH","boatLaunch","12:04:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"51","BH_boatLaunch_20200713_09:05_covidCreel.Instantaneous",20200713,"BH","boatLaunch","09:05:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",0,0
"52","BH_boatLaunch_20200727_09:21_covidCreel.Instantaneous",20200727,"BH","boatLaunch","09:21:00","BH_boatLaunch","covidCreel.Instantaneous",NA,1,0,0,0,0,0,0,0,"AT","KR",2,2
"53","BH_boatLaunch_20200728_12:46_covidCreel.Instantaneous",20200728,"BH","boatLaunch","12:46:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",1,1
"54","BH_boatLaunch_20200729_17:07_covidCreel.Instantaneous",20200729,"BH","boatLaunch","17:07:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"55","BH_boatLaunch_20200731_07:20_covidCreel.Instantaneous",20200731,"BH","boatLaunch","07:20:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",1,1
"56","BH_boatLaunch_20200813_11:19_covidCreel.Instantaneous",20200813,"BH","boatLaunch","11:19:00","BH_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"57","BK_boatLaunch_20200622_19:19_covidCreel.Instantaneous",20200622,"BK","boatLaunch","19:19:00","BK_boatLaunch","covidCreel.Instantaneous",NA,1,1,1,0,0,0,0,0,"AT","BS",0,0
"58","BK_boatLaunch_20200623_12:23_covidCreel.Instantaneous",20200623,"BK","boatLaunch","12:23:00","BK_boatLaunch","covidCreel.Instantaneous","couldn't find Indian",3,1,2,2,0,0,0,0,"AT","KR",2,1
"59","BK_boatLaunch_20200624_08:20_covidCreel.Instantaneous",20200624,"BK","boatLaunch","08:20:00","BK_boatLaunch","covidCreel.Instantaneous",NA,1,1,0,0,0,0,0,0,"AT","LZ",1,0
"60","BK_boatLaunch_20200629_18:13_covidCreel.Instantaneous",20200629,"BK","boatLaunch","18:13:00","BK_boatLaunch","covidCreel.Instantaneous",NA,0,0,4,1,0,0,0,0,"AT","BS",1,1
"61","BK_boatLaunch_20200630_11:46_covidCreel.Instantaneous",20200630,"BK","boatLaunch","11:46:00","BK_boatLaunch","covidCreel.Instantaneous","clear, sunny",3,3,2,2,0,0,0,0,"AT","KR",3,2
"62","BK_boatLaunch_20200701_08:21_covidCreel.Instantaneous",20200701,"BK","boatLaunch","08:21:00","BK_boatLaunch","covidCreel.Instantaneous",NA,1,1,0,0,0,0,0,0,"AT","ML",0,0
"63","BK_boatLaunch_20200702_12:02_covidCreel.Instantaneous",20200702,"BK","boatLaunch","12:02:00","BK_boatLaunch","covidCreel.Instantaneous",NA,9,6,3,2,3,0,0,0,"AT","LZ",5,4
"64","BK_boatLaunch_20200703_14:36_covidCreel.Instantaneous",20200703,"BK","boatLaunch","14:36:00","BK_boatLaunch","covidCreel.Instantaneous",NA,14,9,3,0,0,0,0,0,"AT","ML",4,4
"65","BK_boatLaunch_20200704_12:35_covidCreel.Instantaneous",20200704,"BK","boatLaunch","12:35:00","BK_boatLaunch","covidCreel.Instantaneous","holiday",20,14,3,1,0,0,0,0,"AT","LZ",4,3
"66","BK_boatLaunch_20200706_09:39_covidCreel.Instantaneous",20200706,"BK","boatLaunch","09:39:00","BK_boatLaunch","covidCreel.Instantaneous",NA,3,3,0,0,0,0,0,0,"AT","LZ",3,2
"67","BK_boatLaunch_20200706_17:45_covidCreel.Instantaneous",20200706,"BK","boatLaunch","17:45:00","BK_boatLaunch","covidCreel.Instantaneous",NA,1,1,5,2,0,0,0,0,"AT","BS",3,3
"68","BK_boatLaunch_20200708_13:11_covidCreel.Instantaneous",20200708,"BK","boatLaunch","13:11:00","BK_boatLaunch","covidCreel.Instantaneous",NA,5,4,2,2,0,0,0,0,"AT","LZ",0,0
"69","BK_boatLaunch_20200712_12:04_covidCreel.Instantaneous",20200712,"BK","boatLaunch","12:04:00","BK_boatLaunch","covidCreel.Instantaneous","sunny",5,5,1,1,0,0,0,0,"AT","LZ and BZ",1,1
"70","BK_boatLaunch_20200713_12:06_covidCreel.Instantaneous",20200713,"BK","boatLaunch","12:06:00","BK_boatLaunch","covidCreel.Instantaneous",NA,7,6,0,0,0,0,0,0,"AT","KR",2,1
"71","BK_boatLaunch_20200727_11:05_covidCreel.Instantaneous",20200727,"BK","boatLaunch","11:05:00","BK_boatLaunch","covidCreel.Instantaneous",NA,4,4,4,3,0,0,0,0,"AT","KR",1,1
"72","BK_boatLaunch_20200728_14:00_covidCreel.Instantaneous",20200728,"BK","boatLaunch","14:00:00","BK_boatLaunch","covidCreel.Instantaneous",NA,6,6,0,0,0,0,0,0,"AT","ML",0,0
"73","BK_boatLaunch_20200729_18:09_covidCreel.Instantaneous",20200729,"BK","boatLaunch","18:09:00","BK_boatLaunch","covidCreel.Instantaneous",NA,4,1,0,0,0,0,0,0,"AT","ML",2,0
"74","BK_boatLaunch_20200731_08:33_covidCreel.Instantaneous",20200731,"BK","boatLaunch","08:33:00","BK_boatLaunch","covidCreel.Instantaneous",NA,2,2,1,1,0,0,0,0,"AT","LZ",2,2
"75","BK_boatLaunch_20200803_08:09_covidCreel.Instantaneous",20200803,"BK","boatLaunch","08:09:00","BK_boatLaunch","covidCreel.Instantaneous","sunny and cold",3,3,0,0,0,0,0,0,"AT","KR",0,0
"76","BK_boatLaunch_20200810_09:50_covidCreel.Instantaneous",20200810,"BK","boatLaunch","09:50:00","BK_boatLaunch","covidCreel.Instantaneous","Raining",0,0,1,0,0,0,0,0,"AT","BS",1,1
"77","BOT_boatLaunch_20200607_15:15_covidCreel.Instantaneous",20200607,"BOT","boatLaunch","15:15:00","BOT_boatLaunch","covidCreel.Instantaneous","windy, partly sunny",0,0,3,3,0,0,0,0,"AT","BZ, LZ",3,2
"78","BOT_boatLaunch_20200609_10:22_covidCreel.Instantaneous",20200609,"BOT","boatLaunch","10:22:00","BOT_boatLaunch","covidCreel.Instantaneous","partly sunny",0,0,0,0,0,0,0,0,"AT","BZ, LZ",0,0
"79","BOT_boatLaunch_20200611_13:00_covidCreel.Instantaneous",20200611,"BOT","boatLaunch","13:00:00","BOT_boatLaunch","covidCreel.Instantaneous","sunny",0,0,0,0,0,0,0,0,"AT","BZ, LZ",0,0
"80","BOT_boatLaunch_20200624_11:28_covidCreel.Instantaneous",20200624,"BOT","boatLaunch","11:28:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,1,1,1,1,0,0,0,0,"AT","LZ",2,2
"81","BOT_boatLaunch_20200626_08:21_covidCreel.Instantaneous",20200626,"BOT","boatLaunch","08:21:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"82","BOT_boatLaunch_20200701_11:17_covidCreel.Instantaneous",20200701,"BOT","boatLaunch","11:17:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,0,0,0,0,0,"AT","ML",0,0
"83","BOT_boatLaunch_20200703_17:28_covidCreel.Instantaneous",20200703,"BOT","boatLaunch","17:28:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","ML",2,1
"84","BOT_boatLaunch_20200706_12:23_covidCreel.Instantaneous",20200706,"BOT","boatLaunch","12:23:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",3,1
"85","BOT_boatLaunch_20200708_15:41_covidCreel.Instantaneous",20200708,"BOT","boatLaunch","15:41:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",1,1
"86","BOT_boatLaunch_20200720_10:47_covidCreel.Instantaneous",20200720,"BOT","boatLaunch","10:47:00","BOT_boatLaunch","covidCreel.Instantaneous","cloudy, breezy",0,0,0,0,0,0,0,0,"AT","KR",0,0
"87","BOT_boatLaunch_20200722_12:01_covidCreel.Instantaneous",20200722,"BOT","boatLaunch","12:01:00","BOT_boatLaunch","covidCreel.Instantaneous","cloudy",0,0,1,0,0,0,0,0,"AT","LZ and BZ",0,0
"88","BOT_boatLaunch_20200725_11:47_covidCreel.Instantaneous",20200725,"BOT","boatLaunch","11:47:00","BOT_boatLaunch","covidCreel.Instantaneous","party sunny",0,0,2,2,0,0,0,0,"AT","LZ and BZ",1,1
"89","BOT_boatLaunch_20200727_13:56_covidCreel.Instantaneous",20200727,"BOT","boatLaunch","13:56:00","BOT_boatLaunch","covidCreel.Instantaneous","windy; storm clouds",0,0,0,0,0,1,0,1,"AT","KR",0,0
"90","BOT_boatLaunch_20200728_16:40_covidCreel.Instantaneous",20200728,"BOT","boatLaunch","16:40:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"91","BOT_boatLaunch_20200730_06:40_covidCreel.Instantaneous",20200730,"BOT","boatLaunch","06:40:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",1,0
"92","BOT_boatLaunch_20200731_11:13_covidCreel.Instantaneous",20200731,"BOT","boatLaunch","11:13:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",3,3
"93","BOT_boatLaunch_20200803_11:09_covidCreel.Instantaneous",20200803,"BOT","boatLaunch","11:09:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",0,0
"94","BOT_boatLaunch_20200810_12:53_covidCreel.Instantaneous",20200810,"BOT","boatLaunch","12:53:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","BS",1,1
"95","BOT_boatLaunch_20200811_10:14_covidCreel.Instantaneous",20200811,"BOT","boatLaunch","10:14:00","BOT_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","KR",1,1
"96","BY_boatLaunch_20200609_12:31_covidCreel.Instantaneous",20200609,"BY","boatLaunch","12:31:00","BY_boatLaunch","covidCreel.Instantaneous","partly sunny",0,0,0,0,0,0,0,0,"AT","BZ, LZ",1,1
"97","BY_boatLaunch_20200613_09:36_covidCreel.Instantaneous",20200613,"BY","boatLaunch","09:36:00","BY_boatLaunch","covidCreel.Instantaneous","sunny",0,0,1,1,0,0,0,0,"AT","BZ, LZ",1,1
"98","BY_boatLaunch_20200619_11:34_covidCreel.Instantaneous",20200619,"BY","boatLaunch","11:34:00","BY_boatLaunch","covidCreel.Instantaneous","raining off and on, and 66 degrees",0,0,0,0,0,0,0,0,"AT","ML",0,0
"99","BY_boatLaunch_20200626_10:08_covidCreel.Instantaneous",20200626,"BY","boatLaunch","10:08:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,2,2,0,0,0,0,"AT","LZ",3,3
"100","BY_boatLaunch_20200703_19:05_covidCreel.Instantaneous",20200703,"BY","boatLaunch","19:05:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",2,2
"101","BY_boatLaunch_20200706_14:10_covidCreel.Instantaneous",20200706,"BY","boatLaunch","14:10:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,2,1,0,0,0,0,"AT","LZ",1,0
"102","BY_boatLaunch_20200708_17:30_covidCreel.Instantaneous",20200708,"BY","boatLaunch","17:30:00","BY_boatLaunch","covidCreel.Instantaneous",NA,1,1,2,2,0,0,0,0,"AT","LZ",3,3
"103","BY_boatLaunch_20200716_08:39_covidCreel.Instantaneous",20200716,"BY","boatLaunch","08:39:00","BY_boatLaunch","covidCreel.Instantaneous",NA,1,0,3,3,0,0,0,0,"AT","LZ and BZ",3,3
"104","BY_boatLaunch_20200717_09:31_covidCreel.Instantaneous",20200717,"BY","boatLaunch","09:31:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"105","BY_boatLaunch_20200720_13:25_covidCreel.Instantaneous",20200720,"BY","boatLaunch","13:25:00","BY_boatLaunch","covidCreel.Instantaneous",NA,1,1,2,2,0,0,0,0,"AT","KR",1,1
"106","BY_boatLaunch_20200725_14:08_covidCreel.Instantaneous",20200725,"BY","boatLaunch","14:08:00","BY_boatLaunch","covidCreel.Instantaneous","partly sunny",0,0,0,0,0,0,0,0,"AT","LZ and BZ",2,2
"107","BY_boatLaunch_20200728_18:21_covidCreel.Instantaneous",20200728,"BY","boatLaunch","18:21:00","BY_boatLaunch","covidCreel.Instantaneous",NA,1,1,1,1,0,0,0,0,"AT","ML",1,1
"108","BY_boatLaunch_20200729_12:14_covidCreel.Instantaneous",20200729,"BY","boatLaunch","12:14:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",1,1
"109","BY_boatLaunch_20200730_08:13_covidCreel.Instantaneous",20200730,"BY","boatLaunch","08:13:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"110","BY_boatLaunch_20200803_13:24_covidCreel.Instantaneous",20200803,"BY","boatLaunch","13:24:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",0,0
"111","BY_boatLaunch_20200811_12:13_covidCreel.Instantaneous",20200811,"BY","boatLaunch","12:13:00","BY_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","KR",1,1
"112","CA_boatLaunch_20200621_09:25_covidCreel.Instantaneous",20200621,"CA","boatLaunch","09:25:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"113","CA_boatLaunch_20200625_14:56_covidCreel.Instantaneous",20200625,"CA","boatLaunch","14:56:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,1,1,0,0,0,0,"AT","LZ",1,1
"114","CA_boatLaunch_20200629_13:42_covidCreel.Instantaneous",20200629,"CA","boatLaunch","13:42:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"115","CA_boatLaunch_20200702_08:57_covidCreel.Instantaneous",20200702,"CA","boatLaunch","08:57:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","LZ",0,0
"116","CA_boatLaunch_20200704_09:45_covidCreel.Instantaneous",20200704,"CA","boatLaunch","09:45:00","CA_boatLaunch","covidCreel.Instantaneous","holiday",0,0,0,0,0,0,0,0,"AT","LZ",0,0
"117","CA_boatLaunch_20200706_13:50_covidCreel.Instantaneous",20200706,"CA","boatLaunch","13:50:00","CA_boatLaunch","covidCreel.Instantaneous","Heavy rain, thunderstorm",0,0,0,0,0,0,1,1,"AT","BS",0,0
"118","CA_boatLaunch_20200717_13:10_covidCreel.Instantaneous",20200717,"CA","boatLaunch","13:10:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"119","CA_boatLaunch_20200729_15:31_covidCreel.Instantaneous",20200729,"CA","boatLaunch","15:31:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"120","CA_boatLaunch_20200730_10:04_covidCreel.Instantaneous",20200730,"CA","boatLaunch","10:04:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","ML",0,0
"121","CA_boatLaunch_20200813_09:30_covidCreel.Instantaneous",20200813,"CA","boatLaunch","09:30:00","CA_boatLaunch","covidCreel.Instantaneous",NA,0,0,0,0,0,0,0,0,"AT","BS",0,0
"122","DS_boatLaunch_20200607_13:45_covidCreel.Instantaneous",20200607,"DS","boatLaunch","13:45:00","DS_boatLaunch","covidCreel.Instantaneous","overcast 56 degrees",0,0,0,0,0,0,0,0,"AT","BZ, LZ",3,3
"123","DS_boatLaunch_20200611_11:35_covidCreel.Instantaneous",20200611,"DS","boatLaunch","11:35:00","DS_boatLaunch","covidCreel.Instantaneous","partly sunny",0,0,0,0,0,0,0,0,"AT","BZ, LZ",0,0
